BucketLabel,xgb_only,lgb_only,best_of_two,weighted_search
<30m,0.8944715737814143,0.9376280743948714,0.9403191601732305,0.900450951874091
30-60m,0.5573449203141855,0.587973443126054,0.5830206165205634,0.5695142887528296
1-3h,0.7527681942957353,0.7506223755579349,0.7553237895070786,0.7550902609791454
3-6h,0.7017941329579365,0.7135619441450557,0.7132759973311631,0.7145810879176473
6-12h,0.6537145464223253,0.6602539730818949,0.6595822877854662,0.6602539730818949
>=12h,0.9285070161794386,0.9282016537285233,0.9313173049855191,0.9282016537285233
