true,0,1,2,3,4,5
0,1100853,54770,16129,5045,1908,52025
1,8189,36685,14882,3508,1138,1419
2,4224,20020,170843,18347,4088,9431
3,520,4275,17000,95717,11387,7490
4,285,2851,4258,16573,103164,30681
5,330,1538,2078,4903,6135,194603
