BucketID,BucketLabel,Count,HitRate,OverallAccuracy
0,<30m,1230730,0.8944715737814143,0.8394769969002985
1,30-60m,65821,0.5573449203141855,0.8394769969002985
2,1-3h,226953,0.7527681942957353,0.8394769969002985
3,3-6h,136389,0.7017941329579365,0.8394769969002985
4,6-12h,157812,0.6537145464223253,0.8394769969002985
5,>=12h,209587,0.9285070161794386,0.8394769969002985
