true,0,1,2,3,4,5
0,1157279,47580,15564,4606,2169,3532
1,8560,38375,14113,2101,1009,1663
2,4596,20955,171423,16853,3406,9720
3,967,4631,17098,97283,8953,7457
4,822,2864,3819,18220,104090,27997
5,285,1781,1780,2654,7895,195192
