BucketID,BucketLabel,Count,HitRate,OverallAccuracy
0,<30m,1230730,0.9376280743948714,0.8676998676066398
1,30-60m,65821,0.587973443126054,0.8676998676066398
2,1-3h,226953,0.7506223755579349,0.8676998676066398
3,3-6h,136389,0.7135619441450557,0.8676998676066398
4,6-12h,157812,0.6602539730818949,0.8676998676066398
5,>=12h,209587,0.9282016537285233,0.8676998676066398
