method,rows,RMSE,MAE,MAPE(%),Bias,R2,Accuracy,Accuracy+-1,under_rate,over_rate,hit_rate,avg_deviation(bucket),"dir_cost(scale=1000, l_under=0.60,l_over=0.20)"
xgb_only,2027292,31165.836105204045,10929.260426223751,13811.723976307869,-2779.1331125461948,0.4525386147394662,0.8394769969002985,0.937136337537957,0.045962298475010016,0.11456070462469146,0.8394769969002985,0.18953658377776858,88.6256148596256
lgb_only,2027292,29542.97055391666,9391.821563938496,5920.308400018512,-4369.128584338122,0.5080689332757262,0.8676998676066398,0.9614599179595243,0.048091740114398915,0.08420839227896129,0.8676998676066398,0.06187663148673205,65.60021940598587
best_of_two,2027292,29457.923569330385,9338.27010514519,5919.0671034473025,-4388.301550048044,0.5108971549106329,0.8699496668462166,0.9627947034763615,0.0478110701369117,0.08223926301687177,0.8699496668462166,0.058574196514364976,64.11893303973976
weighted_search,2027292,29520.615708046516,9503.943835421833,6709.112392739937,-4210.129037158929,0.5088131294278063,0.8450997685582541,0.937966015749088,0.04733654550010556,0.10756368594164037,0.8450997685582541,0.11290973377293453,73.4423062883887
