true,0,1,2,3,4,5
0,1108212,46023,64422,5720,2546,3807
1,7852,37486,15500,2117,1068,1798
2,3494,21226,171370,17177,3505,10181
3,461,4953,17194,97461,8838,7482
4,202,3339,3915,18281,104196,27879
5,187,1461,2119,2984,8297,194539
