ProgramID_encoded,RMSE,MAE,MAPE(%),Bias,R2,Accuracy,Accuracy+-1,n
0,19133.48643450404,6850.107537959303,4310.7822350772385,-3758.430647747857,0.4236186618731942,0.5066964285714286,0.7321428571428571,896
1,4321.572359041999,2802.878720174242,2528.378677699963,2067.1995531302396,-7.944134371738503,0.26547085201793724,0.7304932735426009,2230
2,5605.75299386377,3124.7091982317206,4034.2820589809626,532.8410216103829,-1.6589833378026588,0.3317365269461078,0.9053892215568863,835
3,695.9298646411594,519.1989614453356,91.48384299837402,291.4874860334836,-1.7380479999483365,0.7660818713450293,1.0,171
4,901.7581585813268,322.09648773767447,757.3331977721521,266.4817715145684,0.669101135561422,0.9831387808041504,0.9974059662775616,771
5,4362.83731933549,2281.8809152327,883.769693465915,1067.8083597031248,0.06117165596697094,0.6627393225331369,0.8119783996072656,2037
6,7637.997619287905,3535.0739952961426,1721.2630184566517,1517.424484888166,-2.3847112684451757,0.6640735502121641,0.8635077793493635,1414
7,615.8664229322358,230.01808009885775,700.2297959912261,205.0369182826312,0.26592119273033443,0.9921491658488715,0.9970559371933267,1019
8,2832.3580263991635,1228.4934530566707,347.06077562279614,-37.04668514090996,0.5514169825001562,0.8262117346938775,0.9811862244897959,3136
9,3743.5130058868617,2475.3945824263333,1450.3953707518247,-54.029955610095875,0.3747571763097285,0.6517590936195587,0.9230769230769231,1677
10,53446.601665412905,39572.27133374663,1777.4140201045825,4376.999310597839,0.44779879575391646,0.7218429610505672,0.8829096641263063,161132
11,46586.36527883528,19946.76426862678,1182.9793792307528,-12701.917791531176,0.6925567325792664,0.39868122125561034,0.8547681055022995,36094
12,1487.6507776789063,907.0760211690698,812.7856800368562,-313.7074790523932,0.18895311323117825,0.5673758865248227,0.9965120334844786,8601
13,5161.329118339286,3354.4646071628895,66380.73504113655,-364.19160283444603,0.757781047694098,0.6622983870967742,0.9642137096774194,1984
14,3144.307597686508,1809.357084778425,1611.7834607268371,-1637.658879718141,0.43480773530069206,0.8122769450392576,0.9379014989293362,1401
15,12363.898260702703,3571.3488340424074,20405.343705328734,-676.2794643577853,0.0008659333179213968,0.42657342657342656,0.8041958041958042,286
16,39253.52622437559,29087.736087632613,6040.9001006491035,-5537.333294881047,0.40013489268134284,0.4647058823529412,0.5647058823529412,170
17,1723.4936893017925,1378.0527049095185,8657.704352980263,-265.04010325832195,-8.587072212275737,0.8461538461538461,0.9025641025641026,195
18,4170.123547701318,4170.123547701318,1362.7854731050058,4170.123547701318,,0.0,0.0,1
19,2079.1171008172805,1147.9204751562622,2121.9516126699014,66.94595563843454,-1.8933109041220368,0.816247582205029,0.9284332688588007,517
20,113122.26998358608,99958.60703541436,5166.032729277534,-66373.03342950792,0.4768923843583608,0.6878980891719745,0.7452229299363057,157
21,617.8026199798704,96.98644709650586,69.59402099480847,34.094740626445024,0.8389539792452751,0.9913900230782886,0.9996449494052903,11266
22,5727.279361324162,1115.6160477240992,609.4682955466407,406.0167609237521,0.11879867389153664,0.7966339410939691,0.9831697054698457,713
23,891.1253722804851,879.0238331216605,1312.289961175877,-831.6200042882732,-1133.8441064441004,0.9896373056994818,1.0,193
24,4555.9755881935625,1402.3733978716555,11542.413986255624,-842.4211980470249,0.6958080468831862,0.9523809523809523,0.9809523809523809,105
25,681.3379994819683,552.2895091978617,5364.85060533788,552.2895091978617,-10513.305213977159,0.9518377693282636,1.0,789
26,1878.3627040649674,1047.1094318983025,1572.9640092299874,-811.6896068038308,-172.4565523462192,0.9890965732087228,0.9968847352024922,642
27,5465.480744682032,2249.5994587962737,41856.156257378025,263.1523077479461,-12.15103833545536,0.6405693950177936,0.9679715302491103,281
28,9903.403460208385,7235.062918455198,8378.523385133885,6170.6726830212265,-1.000988697102838,0.16037735849056603,0.4811320754716981,106
29,16296.521313688367,7512.584770648181,1151.6103825963744,-1139.5037034562247,0.27087184304710166,0.4591011962495959,0.7621241513094084,12372
30,2743.5060655752427,2377.529807804241,196.34848283599143,-1593.5326033867743,0.054164865646090354,0.7142857142857143,1.0,14
31,11664.910930909462,7198.984742937071,542.4501755103337,2013.1749779295437,0.30108663910837463,0.4981684981684982,0.8131868131868132,273
32,13242.03415650204,7942.104300095869,1926.2400805128834,-162.67085683578154,0.44130988749673616,0.5549132947976878,0.7861271676300579,173
33,4973.4070626587945,3679.1584821428573,357.8064129401422,2891.3865094866073,-30.988393444985846,0.5,0.8571428571428571,14
34,5431.315443386352,3839.2291721544766,1901.4564072132328,2664.1537744622483,-0.30252599661046364,0.4473684210526316,0.618421052631579,76
35,18836.53597635937,11734.441642936217,5523.838401267626,513.7832172988751,0.39788790524629436,0.3669724770642202,0.6467889908256881,218
36,2906.417521908454,2017.7589849853516,168.9736075054039,943.4865228271484,-1.4960091440298537,0.88,0.96,25
37,8046.604242971755,5392.513199832461,500.9299349974385,2605.4667503986884,0.08648160914236869,0.41284403669724773,0.7522935779816514,109
38,18814.26726505009,11010.247865258194,826.5893515845667,-7700.331995522104,0.35966050243094716,0.4268292682926829,0.8536585365853658,82
