variant,RMSE,MAE,MAPE(%),Bias,R2,Accuracy,Accuracy+-1
xgb,19622.093764697955,5731.305228180662,1823.2767659532662,-90.42320770842836,0.7829865654318757,0.8466772423508799,0.9421129269981828
lgb,19539.806421414032,5861.469452276068,1951.3699082355743,297.7298460037749,0.784802886933716,0.8120931765132995,0.9420739587587778
best,19439.910510999667,5714.839381992298,1762.440634156248,17.41815692978749,0.7869976230847131,0.8421263439109906,0.9467595195955985
weighted,19401.413775646408,5714.796233151564,1770.496052556766,137.87647431568826,0.7878404023791054,0.8405103951478129,0.9432582972753801
