BucketID,BucketLabel,Count,HitRate
0,"[0m, 30m)",1230730,0.896562202920218
1,"[30m, 1h)",65821,0.4684827030886799
2,"[1h, 3h)",226953,0.8112560750463752
3,"[3h, 6h)",136389,0.722983525064338
4,"[6h, 12h)",157812,0.6721732187666337
5,"[12h, +inf)",209587,0.9227623850715931
