ProgramID_encoded,RMSE,MAE,MAPE(%),Bias,R2,Accuracy,Accuracy+-1,n
0,22964.832682528842,8556.62087270367,6301.435777670175,-4902.07447020914,0.16967472789289428,0.35267857142857145,0.7165178571428571,896
1,7144.74023926683,3529.2903188580144,1771.5824422874562,2641.0669957816076,-23.447115515965777,0.44484304932735425,0.6865470852017937,2230
2,5633.269801525507,3069.2428349107313,3448.152247151789,454.3495694776744,-1.685151564958355,0.3341317365269461,0.9197604790419162,835
3,779.7296531856994,614.7917749561507,115.59036036675636,529.9305526156442,-2.437147828526988,0.7543859649122807,1.0,171
4,901.7581585813268,322.09648773767447,757.3331977721521,266.4817715145684,0.669101135561422,0.9831387808041504,0.9974059662775616,771
5,4863.187862966001,2702.4763230691933,1216.4440033717287,1592.2248970922112,-0.16651478350229154,0.6755031909671085,0.7947962690230731,2037
6,7801.632350790802,3719.262914349155,2324.992556584977,1873.354007492499,-2.5312913523151903,0.5424328147100425,0.8536067892503536,1414
7,615.8664229322358,230.01808009885775,700.2297959912261,205.0369182826312,0.26592119273033443,0.9921491658488715,0.9970559371933267,1019
8,2837.407204295244,1291.2057862520066,450.51267239821834,62.88492154048276,0.5498162001876319,0.8313137755102041,0.9821428571428571,3136
9,3743.5130058868617,2475.3945824263333,1450.3953707518247,-54.029955610095875,0.3747571763097285,0.6517590936195587,0.9230769230769231,1677
10,53742.19294948851,39769.196248327804,1665.2586995021256,3736.4256839159452,0.44167390752304303,0.7356204850681429,0.9022912891294095,161132
11,46586.36527883528,19946.76426862678,1182.9793792307528,-12701.917791531176,0.6925567325792664,0.39868122125561034,0.8547681055022995,36094
12,1596.3172836129886,1123.4278497902333,752.633013943837,104.74428629090971,0.06613864023483118,0.4337867689803511,0.9946517846762004,8601
13,5161.329118339286,3354.4646071628895,66380.73504113655,-364.19160283444603,0.757781047694098,0.6622983870967742,0.9642137096774194,1984
14,3178.1384909592502,1759.9921271200772,1504.4453338155292,-1576.3270393043879,0.42258003574900893,0.7915774446823698,0.9221984296930764,1401
15,12363.898260702703,3571.3488340424074,20405.343705328734,-676.2794643577853,0.0008659333179213968,0.42657342657342656,0.8041958041958042,286
16,39292.67326660689,28769.394394570736,5523.0963629252365,-6725.528843306509,0.39893782038898595,0.49411764705882355,0.5647058823529412,170
17,1814.8803276447807,1578.1446805100693,9657.564454154897,-459.07854884897756,-9.630717803611404,0.841025641025641,0.9128205128205128,195
18,4170.123547701318,4170.123547701318,1362.7854731050058,4170.123547701318,,0.0,0.0,1
19,2273.7344067847994,1496.9276464712625,3303.044559130341,-459.49034892342587,-2.4603232448067227,0.8336557059961315,0.9400386847195358,517
20,113234.54141765999,100380.6747132525,5912.935858106212,-64158.393047708,0.4758535228442289,0.6878980891719745,0.7452229299363057,157
21,976.2178713267909,166.8324054794133,163.5737103409943,95.07309295407899,0.59789079523168,0.9913012604296112,0.9991123735132257,11266
22,5898.41033435072,1294.5374988559856,831.7291482599466,735.2174761403462,0.06535137596855878,0.844319775596073,0.8611500701262272,713
23,1036.139542038606,1035.3799636837505,1552.1521920033153,-1008.8920629410948,-1533.246298366653,1.0,1.0,193
24,4555.9755881935625,1402.3733978716555,11542.413986255624,-842.4211980470249,0.6958080468831862,0.9523809523809523,0.9809523809523809,105
25,767.6691891752093,386.9655850428691,3647.0194528750562,386.9655850428691,-13346.612141916858,0.9556400506970849,0.991128010139417,789
26,1878.3627040649674,1047.1094318983025,1572.9640092299874,-811.6896068038308,-172.4565523462192,0.9890965732087228,0.9968847352024922,642
27,12274.617674893454,3444.570159267766,46135.0495454415,318.24396677387426,-65.33141381089503,0.7366548042704626,0.9501779359430605,281
28,12231.104798791512,7391.655542312682,5872.5031923760425,5857.752936057011,-2.052158376120139,0.36792452830188677,0.6132075471698113,106
29,16296.521313688367,7512.584770648181,1151.6103825963744,-1139.5037034562247,0.27087184304710166,0.4591011962495959,0.7621241513094084,12372
30,4095.4126321645717,2302.9240663787195,205.30697541982423,-247.60460894549647,-1.1076520928175455,0.9285714285714286,1.0,14
31,11890.576183838344,7611.975750064428,683.6615027892085,2546.771918605783,0.27378320515931054,0.5054945054945055,0.8205128205128205,273
32,13564.058862936563,8368.235268976003,1280.5306434921115,386.06850973049336,0.41380662010131153,0.48554913294797686,0.7109826589595376,173
33,6437.539373472625,4679.839891256565,372.36347738463627,3839.347981532912,-52.59499220933516,0.5,0.7142857142857143,14
