ProgramID_encoded,RMSE,MAE,MAPE(%),Bias,R2,Accuracy,Accuracy+-1,n
0,19133.48643450404,6850.107537959303,4310.7822350772385,-3758.430647747857,0.4236186618731942,0.5066964285714286,0.7321428571428571,896
1,4321.572359041999,2802.878720174242,2528.378677699963,2067.1995531302396,-7.944134371738503,0.26547085201793724,0.7304932735426009,2230
2,6402.694150108471,3444.012766456604,6433.4205904085775,846.806830141216,-2.4687517045012335,0.38083832335329343,0.6550898203592814,835
3,852.8084480656005,734.2147818113629,111.72423829395082,-66.17711383975737,-3.1116212065239433,0.7543859649122807,1.0,171
4,1107.8868592500357,552.1639648318754,1432.146450031212,-218.83868730794904,0.5005339900072785,0.9727626459143969,0.9987029831387808,771
5,4370.041510781402,2250.3357431171103,849.0182185985115,1009.5398555487818,0.05806859124673225,0.6656848306332842,0.8124693176239568,2037
6,7642.950425652316,3499.9129978055835,1692.2187094361352,1428.442104237083,-2.389102276544133,0.6626591230551626,0.864922206506365,1414
7,802.0824611605358,150.217448200866,279.48155340108326,53.25797763165595,-0.24510985930331297,0.9862610402355251,0.9990186457311089,1019
8,2877.0706011957473,1159.0939540613672,173.4736018423964,-270.2204340641596,0.5371422211496875,0.8246173469387755,0.9741709183673469,3136
9,3846.427867871959,2481.0562757419275,1069.847189404534,-272.97062441928796,0.33990687704355294,0.7346451997614788,0.9194991055456172,1677
10,53536.26159695905,39723.959939730885,1904.2653408332449,4804.048395052436,0.445944539396365,0.718994364868555,0.8800672740361939,161132
11,49051.930415168186,20133.804743519635,568.5803725771959,-17852.258893296086,0.6591529506018253,0.6525461295506179,0.957887737574112,36094
12,1489.9126565334082,899.2028696667578,820.1973493671093,-360.2021196460935,0.18648494739070165,0.569584931984653,0.9955819090803395,8601
13,5859.023204262946,4021.9453468322754,66560.33757339595,-2503.541554235643,0.687870044255598,0.12651209677419356,0.9576612903225806,1984
14,3342.546594476555,2045.155855758117,1940.045451346287,-1780.7665073502328,0.36129384825824606,0.8436830835117773,0.9400428265524625,1401
15,13488.322973042747,6579.255475664472,46132.72937868287,3199.329593471714,-0.18912862712845713,0.17132867132867133,0.4125874125874126,286
16,41122.610073772885,32094.624381570255,10906.60648985632,5156.426640948127,0.34164886054555266,0.4647058823529412,0.5294117647058824,170
17,2101.658404792641,1625.8997320664234,11463.335202701146,187.7162697865413,-13.255775955945815,0.7487179487179487,0.9076923076923077,195
18,7175.896484375,7175.896484375,2345.0642105800653,7175.896484375,,0.0,0.0,1
19,2102.481971214471,1067.1322812702024,1824.430982060307,292.56151473637476,-1.9587056670709244,0.8201160541586073,0.8974854932301741,517
20,117042.75026539124,101902.89690734475,4073.954195487626,-75231.5949567078,0.4400053775827245,0.7515923566878981,0.8089171974522293,157
21,617.8026199798704,96.98644709650586,69.59402099480847,34.094740626445024,0.8389539792452751,0.9913900230782886,0.9996449494052903,11266
22,5727.279361324162,1115.6160477240992,609.4682955466407,406.0167609237521,0.11879867389153664,0.7966339410939691,0.9831697054698457,713
23,891.1253722804851,879.0238331216605,1312.289961175877,-831.6200042882732,-1133.8441064441004,0.9896373056994818,1.0,193
24,7765.393856444782,1855.9476632254464,11622.063839866332,-1017.5973284040178,0.11628562368009876,0.9523809523809523,0.9714285714285714,105
25,694.5399277991361,623.1426195500015,6101.063956393374,623.1426195500015,-10924.713118336322,0.9607097591888466,1.0,789
26,2042.637061738224,1017.2705913793261,1504.0631632515658,-738.9561298881364,-204.12293031109638,0.9672897196261683,0.9984423676012462,642
27,5465.480744682032,2249.5994587962737,41856.156257378025,263.1523077479461,-12.15103833545536,0.6405693950177936,0.9679715302491103,281
28,9904.972023877835,7254.1008294303465,8740.15924158919,6205.441543795027,-1.0016226057884166,0.19811320754716982,0.41509433962264153,106
29,17115.10814063693,7651.063673534633,911.2250053452909,-2043.864475536069,0.1957828190043014,0.42289039767216297,0.7345619139993533,12372
30,2968.3396436578264,2409.5036969866073,192.5091288714917,-2170.35888671875,-0.10721198386227115,0.7857142857142857,0.7857142857142857,14
31,11729.460972518038,7093.730651948042,606.7699770485691,1784.4905747825846,0.29333009252673414,0.4908424908424908,0.8095238095238095,273
32,13250.399251471366,8017.619194604069,2011.8337401645244,-223.6418975653676,0.44060380685445366,0.5606936416184971,0.7514450867052023,173
33,4973.4070626587945,3679.1584821428573,357.8064129401422,2891.3865094866073,-30.988393444985846,0.5,0.8571428571428571,14
34,5431.315443386352,3839.2291721544766,1901.4564072132328,2664.1537744622483,-0.30252599661046364,0.4473684210526316,0.618421052631579,76
35,18836.53597635937,11734.441642936217,5523.838401267626,513.7832172988751,0.39788790524629436,0.3669724770642202,0.6467889908256881,218
36,2906.417521908454,2017.7589849853516,168.9736075054039,943.4865228271484,-1.4960091440298537,0.88,0.96,25
37,8046.604242971755,5392.513199832461,500.9299349974385,2605.4667503986884,0.08648160914236869,0.41284403669724773,0.7522935779816514,109
38,18814.26726505009,11010.247865258194,826.5893515845667,-7700.331995522104,0.35966050243094716,0.4268292682926829,0.8536585365853658,82
