ProgramID_encoded,n,RMSE,MAE,Accuracy,Accuracy+-1,under_rate,over_rate,hit_rate,avg_deviation(bucket),"dir_cost(l_under=0.6,l_over=0.2,scale=1000.0)"
0,895.0,121908.61302085327,120489.98659217877,0.01564245810055866,0.053631284916201116,0.0,0.9843575418994414,0.01564245810055866,6.884916201117319,1376.983240223464
1,2231.0,128826.27738907342,128819.10533393097,0.0,0.0,0.0,1.0,0.0,8.435679067682653,1687.1358135365308
2,836.0,127327.66452138865,127281.46172248803,0.0,0.0,0.0,1.0,0.0,7.738038277511961,1547.6076555023926
3,170.0,128846.75805462952,128845.92941176471,0.0,0.0,0.0,1.0,0.0,8.423529411764706,1684.7058823529417
4,771.0,129341.73363469254,129335.23605706875,0.0,0.0,0.0,1.0,0.0,8.878080415045396,1775.6160830090794
5,2037.0,127456.9382746447,127382.82179675993,0.0,0.0004909180166912126,0.0,1.0,0.0,8.005400098183603,1601.0800196367209
6,1413.0,127001.61943615333,126930.23637650389,0.0,0.0007077140835102619,0.0,1.0,0.0,7.7423920736022644,1548.478414720453
7,1018.0,129479.2042886881,129477.17485265226,0.0,0.0,0.0,1.0,0.0,8.950884086444008,1790.176817288802
8,3136.0,10376.209932138207,10033.017538265307,0.03985969387755102,0.14795918367346939,0.01020408163265306,0.9499362244897959,0.03985969387755102,3.263073979591837,663.8392857142858
9,1676.0,126255.68687952966,126161.34307875895,0.0,0.0005966587112171838,0.0,1.0,0.0,7.47673031026253,1495.346062052506
10,161132.0,81389.10074909292,69486.89638308964,0.44353076980363926,0.6671797035970508,0.0,0.5564692301963607,0.44353076980363926,1.9106012461832536,382.12024923665075
11,36095.0,122377.02925587339,111380.67483030891,0.23271921318742209,0.31832663803850947,0.0,0.7672807868125779,0.23271921318742209,4.44690400332456,889.380800664912
13,1985.0,108180.74895850077,107488.10176322419,0.0,0.011083123425692695,0.0,1.0,0.0,3.9370277078085643,787.405541561713
14,1400.0,127773.84442454232,127707.61142857143,0.0,0.002857142857142857,0.0,1.0,0.0,8.112142857142857,1622.4285714285716
15,286.0,127328.11403200611,126971.09440559441,0.0034965034965034965,0.017482517482517484,0.0,0.9965034965034965,0.0034965034965034965,7.765734265734266,1553.1468531468533
16,169.0,95710.9943113695,83923.65680473374,0.35502958579881655,0.4911242603550296,0.0,0.6449704142011834,0.35502958579881655,4.431952662721893,886.390532544379
17,194.0,129475.4300690361,129474.72680412371,0.0,0.0,0.0,1.0,0.0,8.93298969072165,1786.59793814433
18,1.0,129294.0,129294.0,0.0,0.0,0.0,1.0,0.0,9.0,1800.0
19,515.0,129113.38763722073,129107.60194174758,0.0,0.0,0.0,1.0,0.0,8.644660194174758,1728.9320388349515
20,158.0,182661.96611103974,174714.03164556963,0.6518987341772152,0.6835443037974683,0.0,0.34810126582278483,0.6518987341772152,2.449367088607595,489.87341772151893
22,711.0,129312.90463816523,129258.64275668073,0.0014064697609001407,0.0014064697609001407,0.0,0.9985935302390999,0.0014064697609001407,8.90576652601969,1781.1533052039385
23,193.0,129526.81617267143,129526.8134715026,0.0,0.0,0.0,1.0,0.0,9.0,1800.0000000000005
24,106.0,128782.97383615936,128519.48113207547,0.0,0.009433962264150943,0.0,1.0,0.0,8.745283018867925,1749.0566037735855
25,789.0,129588.54769886941,129588.54752851711,0.0,0.0,0.0,1.0,0.0,9.0,1800.0000000000002
26,642.0,129517.84648612494,129517.76479750779,0.0,0.0,0.0,1.0,0.0,8.995327102803738,1799.065420560748
27,282.0,128396.64272355742,128386.8865248227,0.0,0.0,0.0,1.0,0.0,8.095744680851064,1619.148936170213
28,106.0,126806.86151462262,126602.69811320755,0.0,0.009433962264150943,0.0,1.0,0.0,7.981132075471698,1596.2264150943397
29,12374.0,26968.93129975126,23784.41740746727,0.06723775658639082,0.12865686116049782,0.016486180701470825,0.9162760627121384,0.06723775658639082,3.967027638597058,809.633101664781
30,13.0,126978.1548456269,126938.46153846153,0.0,0.0,0.0,1.0,0.0,7.3076923076923075,1461.5384615384614
31,275.0,120906.4749984128,120104.28727272728,0.0,0.02181818181818182,0.0,1.0,0.0,6.221818181818182,1244.3636363636365
32,173.0,120959.94870170488,119940.80924855491,0.005780346820809248,0.046242774566473986,0.0,0.9942196531791907,0.005780346820809248,6.277456647398844,1255.4913294797689
33,14.0,128519.38685994866,128515.28571428571,0.0,0.0,0.0,1.0,0.0,7.928571428571429,1585.714285714286
34,77.0,126857.30807286393,126766.84415584416,0.0,0.0,0.0,1.0,0.0,7.48051948051948,1496.1038961038957
35,219.0,116457.206234227,113088.4200913242,0.0684931506849315,0.1232876712328767,0.0,0.9315068493150684,0.0684931506849315,5.621004566210046,1124.200913242009
36,25.0,127814.61447784444,127796.28,0.0,0.0,0.0,1.0,0.0,7.6,1520.0000000000002
37,109.0,124541.76472124014,124254.30275229357,0.0,0.0,0.0,1.0,0.0,6.944954128440367,1388.9908256880735
38,84.0,104515.88689496194,101430.79761904762,0.011904761904761904,0.2619047619047619,0.0,0.9880952380952381,0.011904761904761904,3.7142857142857144,742.8571428571428
39,3.0,126540.78982025255,126526.33333333333,0.0,0.0,0.0,1.0,0.0,7.0,1400.0000000000005
40,6.0,129233.95810634809,129233.83333333333,0.0,0.0,0.0,1.0,0.0,8.666666666666666,1733.3333333333335
